City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
Kolkata,Car,Storm,Recession,Thursday,23,89.2206,0,0,53.3616,0.0184
Pune,Bike,Hot,Recession,Saturday,10,42.6291,0,0,34.1033,0.134
Delhi,Bike,Clear,Recession,Wednesday,12,37.6441,0,0,34.2219,0.2449
Pune,Car,Clear,Recession,Monday,13,93.2075,0,0,46.6037,0.0446
Pune,Bike,Clear,Stable,Thursday,0,96,0,0,90.1531,0.2053
Pune,Bike,Rainy,Recession,Sunday,10,45.5341,0,0,36.4273,0.1085
Kolkata,Bike,Hot,Recession,Wednesday,1,69.4651,0,0,63.1501,0.0219
Pune,Bike,Snowy,Booming,Thursday,2,22.7334,0,0,22.7334,0.1498
Pune,Bike,Snowy,Booming,Tuesday,13,55.0833,0,0,44.0666,0.157
Pune,Bike,Snowy,Stable,Tuesday,11,27.5094,0,1,22.0075,0.1949
Delhi,Bike,Storm,Stable,Thursday,20,70.3384,0,0,107.9196,0.6792
Bengalore,Bike,Snowy,Stable,Friday,21,55.6397,0,0,49.2998,0.1642
Chennai,Rickshaw,Rainy,Booming,Monday,17,39.386,1,0,47.2632,0.5913
Bengalore,Car,Clear,Stable,Thursday,17,45.6719,1,0,20.76,0.2946
Bengalore,Bike,Storm,Booming,Wednesday,12,24.7208,0,0,23.6562,0.3319
Kolkata,Bike,Clear,Booming,Saturday,4,44.616,0,0,40.56,0.0803
Bengalore,Bike,Clear,Recession,Thursday,23,57.7985,0,0,52.5441,0.0457
Pune,Bike,Clear,Booming,Saturday,11,24.8612,0,0,19.8889,0.223
Bengalore,Bike,Hot,Booming,Tuesday,12,87.8502,0,0,79.8638,0.2282
Pune,Bike,Snowy,Stable,Saturday,18,58.8387,0,0,47.071,0.2684
Delhi,Bike,Snowy,Stable,Thursday,17,53.0764,1,0,40.6326,0.5668
Mumbai,Bike,Rainy,Recession,Thursday,15,30.3887,0,0,24.311,0.215
Mumbai,Car,Hot,Stable,Thursday,3,66.6029,0,0,33.3014,0.1344
Chennai,Rickshaw,Snowy,Recession,Wednesday,18,68.7717,1,0,82.526,0.3613
Kolkata,Bike,Clear,Recession,Saturday,7,106.5692,0,0,96.8811,0.0514
Mumbai,Bike,Hot,Stable,Thursday,6,64.5277,0,0,51.6222,0.1454
Kolkata,Bike,Clear,Stable,Tuesday,14,99.4133,0,0,90.3757,0.0841
Kolkata,Bike,Snowy,Stable,Friday,8,108.3456,1,0,99.5715,0.08
Kolkata,Bike,Snowy,Booming,Friday,16,83.9572,0,0,80.3418,0.0978
Bengalore,Bike,Storm,Stable,Saturday,9,27.9911,0,0,26.7857,0.2355
Bengalore,Car,Snowy,Booming,Saturday,10,64.514,0,1,38.5849,0.4095
Pune,Bike,Hot,Recession,Wednesday,11,24.2928,0,0,19.4342,0.0246
Mumbai,Bus,Rainy,Recession,Wednesday,18,82.3866,1,0,82.3866,0.1821
Pune,Bike,Snowy,Recession,Monday,16,80.3199,0,0,64.2559,0.0854
Pune,Bike,Rainy,Booming,Tuesday,4,46.3866,0,0,37.1093,0.1823
Mumbai,Bike,Snowy,Booming,Monday,8,86.4,1,0,85.8516,0.3704
Bengalore,Car,Hot,Stable,Thursday,12,62.6841,0,0,49.4667,0.3329
Bengalore,Bike,Rainy,Stable,Wednesday,4,66.4338,0,0,63.573,0.2647
Kolkata,Car,Hot,Booming,Tuesday,9,67.1605,0,0,38.1594,0.0607
Pune,Rickshaw,Snowy,Recession,Sunday,23,23.1912,0,0,27.8294,0.347
Pune,Car,Snowy,Stable,Friday,5,44.7029,0,0,22.3514,0.2919
Bengalore,Bike,Rainy,Recession,Sunday,23,38.838,0,0,37.1655,0.0602
Bengalore,Car,Clear,Recession,Saturday,12,54.3648,1,0,24.7113,0.0336
Chennai,Bike,Snowy,Booming,Tuesday,20,18.6312,0,0,16.5611,0.5095
Chennai,Bike,Hot,Stable,Monday,8,48.0126,1,0,42.6779,0.309
Bengalore,Car,Storm,Booming,Sunday,7,38.3157,0,0,35.8064,0.2612
Bengalore,Bike,Rainy,Stable,Friday,8,81.722,1,0,62.5623,0.2463
Delhi,Rickshaw,Rainy,Stable,Saturday,7,73.6459,0,0,105.7119,0.4964
Mumbai,Rickshaw,Storm,Recession,Sunday,16,45.2959,0,0,60.3945,0.1352
Delhi,Bike,Clear,Booming,Wednesday,10,65.7099,0,0,52.5679,0.8521
Mumbai,Car,Clear,Booming,Sunday,9,24.0919,0,0,12.046,1
Delhi,Bike,Clear,Booming,Sunday,9,17.663,0,0,19.6255,0.9877
Pune,Bike,Clear,Booming,Friday,10,61.7505,0,0,49.4004,0.276
Mumbai,Bike,Hot,Recession,Tuesday,14,126.1146,0,0,100.8917,0.0583
Kolkata,Bike,Hot,Stable,Sunday,11,87.4272,0,0,79.4793,0.0484
Chennai,Bike,Snowy,Recession,Wednesday,2,83.3714,0,0,66.6971,0.1486
Chennai,Rickshaw,Rainy,Stable,Friday,4,16.9444,0,0,20.3333,0.7269
Chennai,Bike,Rainy,Recession,Tuesday,22,77.3975,0,0,61.918,0.1184
Pune,Bike,Hot,Recession,Thursday,18,40.0824,1,0,35.6288,0.0858
Delhi,Car,Snowy,Stable,Thursday,9,53.4655,0,0,31.977,0.5011
Delhi,Bike,Clear,Booming,Tuesday,17,76.4268,1,0,67.935,1
Chennai,Bike,Hot,Recession,Saturday,18,53.7649,0,0,43.012,0.2456
Mumbai,Bus,Rainy,Recession,Tuesday,7,23.5902,1,0,23.5902,0.2398
Delhi,Rickshaw,Snowy,Booming,Monday,11,97.8597,0,0,140.4684,0.4268
Bengalore,Bike,Snowy,Recession,Thursday,23,82.4619,0,1,78.9109,0.1199
Chennai,Rickshaw,Rainy,Stable,Tuesday,0,15.485,0,0,18.582,0.6758
Kolkata,Car,Hot,Booming,Saturday,2,49.4976,0,0,28.1237,0.1103
Delhi,Car,Snowy,Booming,Thursday,0,54.762,0,0,32.7524,0.4261
Pune,Car,Hot,Booming,Tuesday,23,43.5827,0,0,21.7914,0.2565
Kolkata,Bike,Hot,Booming,Sunday,17,79.0542,0,0,71.8675,0.1036
Chennai,Car,Snowy,Recession,Tuesday,16,82.4367,0,0,41.2183,0.2522
Bengalore,Bike,Clear,Stable,Friday,13,58.7393,0,0,53.3993,0.2415
Delhi,Car,Storm,Recession,Sunday,19,50.0453,0,0,29.9314,0.184
Kolkata,Car,Storm,Stable,Tuesday,7,80.4246,1,0,38.4807,0.1251
Kolkata,Car,Clear,Stable,Sunday,22,87.2217,0,0,49.5578,0.0739
Pune,Bike,Snowy,Booming,Monday,13,41.4928,0,0,33.1943,0.1358
Pune,Car,Clear,Booming,Sunday,18,72.6438,0,0,36.3219,0.3152
Delhi,Bike,Clear,Recession,Saturday,22,95.8318,0,0,87.1198,0.215
Pune,Bus,Storm,Stable,Sunday,18,86.3016,0,0,86.3016,0.3371
Kolkata,Bike,Clear,Stable,Wednesday,3,95.1267,0,0,86.4788,0.0796
Bengalore,Bike,Hot,Stable,Sunday,21,30.6116,0,0,27.8287,0.3842
Kolkata,Bike,Storm,Stable,Tuesday,15,22.5322,0,0,21.5619,0.0869
Kolkata,Bike,Snowy,Stable,Sunday,5,33.9217,0,0,32.4609,0.0674
Delhi,Car,Hot,Recession,Tuesday,1,94.7131,0,0,53.8142,0.254
Delhi,Car,Clear,Stable,Saturday,17,92.1615,0,0,52.3645,0.4418
Kolkata,Bike,Hot,Recession,Tuesday,17,27.0622,1,0,19.6816,0.0205
Pune,Bike,Storm,Recession,Tuesday,22,26.0667,0,0,20.8533,0.1015
Pune,Bike,Hot,Booming,Friday,22,26.4705,0,0,21.1764,0.2063
Chennai,Bike,Hot,Recession,Sunday,12,27.2911,1,0,21.8328,0.2307
Bengalore,Bike,Hot,Booming,Monday,2,16.7329,0,0,15.2117,0.2575
Bengalore,Bike,Clear,Recession,Tuesday,6,68.3727,0,1,62.157,0.1012
Kolkata,Bike,Storm,Booming,Sunday,1,100.7423,0,0,96.4041,0.0929
Chennai,Rickshaw,Rainy,Stable,Friday,1,49.252,0,0,59.1024,0.7184
Kolkata,Bike,Storm,Recession,Friday,17,90.3155,1,1,69.141,0.0353
Chennai,Car,Clear,Recession,Tuesday,10,75.6428,0,0,37.8214,0.1003
Kolkata,Bike,Hot,Booming,Monday,7,31.5444,1,0,22.9414,0.1314
Kolkata,Car,Snowy,Recession,Tuesday,1,54.6268,0,0,32.6715,0.0138
Pune,Car,Rainy,Recession,Sunday,7,77.2455,0,0,38.6227,0.1417
Kolkata,Bike,Snowy,Booming,Monday,17,104.4846,1,0,79.9882,0.0661
Bengalore,Bike,Snowy,Booming,Thursday,1,42.805,0,0,40.9617,0.1941
Mumbai,Bus,Clear,Booming,Wednesday,0,30.8643,0,0,30.8643,0.5049
Kolkata,Bike,Storm,Booming,Monday,21,44.3449,0,0,36.2695,0.0713
Bengalore,Car,Clear,Booming,Sunday,23,41.681,0,0,23.6824,0.3316
Bengalore,Car,Storm,Recession,Friday,9,55.2164,0,0,33.0242,0.0582
Bengalore,Car,Clear,Recession,Saturday,2,60.0913,0,0,34.1428,0.0368
Delhi,Car,Snowy,Booming,Saturday,17,57.336,0,0,34.2919,0.5104
Mumbai,Bike,Rainy,Stable,Thursday,8,28.3195,1,0,22.6556,0.3388
Pune,Bike,Hot,Stable,Monday,8,34.8017,1,0,27.8413,0.3693
Pune,Car,Storm,Recession,Thursday,2,91.3279,0,0,45.6639,0.092
Pune,Bus,Storm,Recession,Friday,10,79.0093,0,0,79.0093,0.0748
Kolkata,Car,Rainy,Recession,Tuesday,13,78.2106,0,0,46.7767,0.0376
Delhi,Bike,Storm,Booming,Sunday,6,76.1136,0,0,72.8359,0.3847
Chennai,Rickshaw,Rainy,Recession,Saturday,15,53.1588,0,0,63.7906,0.1361
Mumbai,Bike,Clear,Recession,Sunday,23,19.7831,0,0,17.585,0.2074
Chennai,Car,Clear,Recession,Tuesday,23,75.3348,0,0,37.6674,0.258
Pune,Bike,Hot,Recession,Sunday,16,84.1138,0,0,67.2911,0.1065
Delhi,Rickshaw,Storm,Recession,Thursday,8,132.4224,1,0,165.8871,0.5267
Kolkata,Bike,Storm,Recession,Saturday,16,35.1969,0,0,33.6812,0.0227
Kolkata,Bike,Hot,Stable,Sunday,9,61.6097,0,0,56.0088,0.0566
Kolkata,Bike,Rainy,Recession,Monday,8,40.5598,1,0,31.0505,0.0316
Bengalore,Bike,Storm,Stable,Tuesday,7,66.552,1,0,50.9489,0.3076
Kolkata,Bike,Snowy,Booming,Tuesday,12,71.6281,0,0,68.5436,0.1195
Bengalore,Car,Clear,Stable,Thursday,6,41.0324,0,0,32.3804,0.3143
Delhi,Bike,Hot,Booming,Sunday,8,28.8353,0,1,23.0682,0.7629
Pune,Bike,Rainy,Recession,Wednesday,20,52.8844,0,0,47.0084,0.1537
Pune,Car,Clear,Stable,Thursday,10,67.0366,0,0,33.5183,0.2374
Pune,Bike,Rainy,Recession,Saturday,3,90.6058,0,0,72.4846,0.0612
Bengalore,Bike,Clear,Recession,Tuesday,3,82.4126,0,0,74.9206,0.0518
Pune,Bike,Clear,Stable,Wednesday,10,20.5876,0,0,16.4701,0.1359
Bengalore,Bike,Hot,Recession,Wednesday,17,79.5364,1,0,57.8447,0.0695
Chennai,Bike,Clear,Recession,Wednesday,8,47.6074,1,0,38.0859,0.2163
Bengalore,Bike,Rainy,Booming,Thursday,19,32.6622,0,0,45.2195,0.3466
Bengalore,Bike,Clear,Recession,Saturday,22,86.6063,0,0,78.733,0.036
Bengalore,Car,Rainy,Booming,Saturday,22,66.1592,0,0,39.5689,0.2467
Bengalore,Bike,Rainy,Stable,Friday,23,53.3564,0,0,51.0588,0.1191
Bengalore,Bike,Clear,Stable,Tuesday,2,55.6624,0,0,50.6022,0.2764
Chennai,Bike,Rainy,Recession,Wednesday,16,29.6392,0,0,23.7113,0.0635
Bengalore,Bike,Snowy,Stable,Tuesday,11,44.7366,0,0,42.8101,0.1836
Pune,Bus,Rainy,Booming,Sunday,11,86.4,0,0,88.8321,0.2931
Delhi,Bike,Clear,Recession,Friday,7,40.0048,1,0,29.0944,0.1189
Chennai,Bike,Storm,Stable,Thursday,14,72.3405,0,0,57.8724,0.6314
Pune,Bus,Snowy,Booming,Monday,2,38.4812,0,1,38.4812,0.4399
Bengalore,Car,Clear,Stable,Tuesday,1,43.5704,0,0,24.7559,0.2606
Delhi,Bike,Clear,Stable,Sunday,17,102.2957,0,0,92.9961,0.4548
Pune,Bus,Storm,Stable,Thursday,7,26.3477,1,0,26.3477,0.3872
Delhi,Bike,Rainy,Recession,Wednesday,12,76.573,0,0,73.2756,0.1115
Bengalore,Car,Storm,Recession,Thursday,8,52.7537,1,0,25.241,0.0924
Kolkata,Bike,Clear,Stable,Tuesday,11,32.5102,0,0,29.5547,0.0747
Mumbai,Bike,Hot,Booming,Tuesday,21,32.189,0,0,28.6125,0.1843
Chennai,Bike,Hot,Booming,Friday,8,86.4,1,0,85.0757,0.5555
Kolkata,Bike,Rainy,Recession,Sunday,1,67.5556,0,1,64.6465,0.0387
Pune,Bike,Snowy,Booming,Saturday,1,62.8571,0,1,50.2857,0.1962
Kolkata,Bike,Rainy,Booming,Monday,19,101.4115,0,1,109.6583,0.0741
Chennai,Bus,Hot,Recession,Thursday,23,65.3388,0,0,65.3388,0.2861
Mumbai,Bike,Clear,Stable,Thursday,6,21.9869,0,0,17.5895,0.4367
Chennai,Car,Rainy,Recession,Friday,14,32.8386,0,0,16.4193,0.0951
Mumbai,Car,Hot,Booming,Sunday,18,48.1503,0,0,24.0752,0.2204
Kolkata,Car,Hot,Stable,Saturday,1,63.5734,0,0,36.1212,0.1214
Bengalore,Bike,Storm,Stable,Sunday,21,78.0143,0,1,74.6548,0.1484
Chennai,Rickshaw,Snowy,Booming,Tuesday,2,38.2851,0,0,45.9422,0.8769
Bengalore,Bike,Storm,Booming,Saturday,9,92.9456,0,1,88.9432,0.2709
Pune,Rickshaw,Storm,Recession,Saturday,16,43.1249,0,0,51.7499,0.1005
Chennai,Rickshaw,Snowy,Booming,Saturday,13,12.1134,1,0,14.5361,0.7376
Mumbai,Bike,Snowy,Booming,Friday,2,50.4936,0,0,40.3949,0.2263
Kolkata,Bike,Hot,Booming,Tuesday,16,99.9956,0,0,90.9051,0.0698
Pune,Rickshaw,Rainy,Recession,Friday,1,44.632,0,0,53.5584,0.1584
Chennai,Bike,Snowy,Stable,Saturday,5,52.8391,0,0,42.2712,0.4774
Chennai,Bike,Snowy,Booming,Saturday,3,33.926,0,0,27.1408,0.5898
Chennai,Bike,Clear,Recession,Thursday,13,56.1398,0,0,44.9118,0.0767
Delhi,Bike,Clear,Stable,Friday,3,30.203,0,0,33.5589,0.9153
Delhi,Bike,Hot,Stable,Saturday,9,112.7392,0,0,102.4902,0.356
Chennai,Bike,Clear,Stable,Friday,4,34.4879,0,0,27.5903,0.3142
Pune,Car,Hot,Stable,Sunday,3,96,0,0,52.6993,0.5394
Delhi,Bike,Rainy,Stable,Monday,3,38.3482,0,0,36.6969,0.4954
Delhi,Bike,Storm,Booming,Thursday,16,120.384,0,0,116.4207,0.6609
Pune,Car,Rainy,Stable,Wednesday,8,18.1274,1,0,9.0637,0.1659
Delhi,Bus,Clear,Recession,Monday,11,62.5111,0,0,112.7545,0.0764
Kolkata,Bike,Hot,Recession,Tuesday,11,24.7793,0,0,22.5267,0.0218
Kolkata,Bike,Rainy,Stable,Thursday,23,75.3525,0,0,72.1077,0.0533
Chennai,Bike,Storm,Booming,Saturday,22,69.0459,0,0,55.2367,0.5454
Bengalore,Car,Rainy,Booming,Monday,12,29.6509,0,0,17.7338,0.2609
Chennai,Car,Storm,Recession,Thursday,15,23.5273,0,0,13.0707,0.2528
Bengalore,Bike,Storm,Stable,Thursday,17,44.7815,1,0,34.2825,0.2543
Delhi,Car,Rainy,Booming,Wednesday,4,71.4009,0,0,42.7039,0.6871
Mumbai,Bike,Snowy,Stable,Monday,8,43.8737,1,0,35.099,0.5689
Chennai,Bike,Storm,Booming,Tuesday,6,66.6628,0,0,53.3302,0.5877
Bengalore,Bike,Hot,Recession,Wednesday,13,27.2977,0,0,34.4668,0.1063
Delhi,Bike,Snowy,Booming,Sunday,20,98.8604,0,0,94.6033,0.434
Kolkata,Bike,Storm,Booming,Friday,8,86.0084,1,0,65.8437,0.08
Chennai,Bike,Storm,Recession,Tuesday,15,75.6581,0,0,60.5265,0.2732
Kolkata,Bike,Snowy,Stable,Thursday,23,35.6321,0,0,34.0977,0.0616
Kolkata,Bike,Rainy,Stable,Thursday,5,48.5656,0,0,46.4742,0.0964
Delhi,Bike,Rainy,Recession,Wednesday,1,45.2906,0,0,43.3403,0.3778
Kolkata,Bike,Clear,Recession,Friday,12,14.8153,0,1,14.965,0.0565
Delhi,Bike,Rainy,Booming,Friday,19,74.9255,0,0,72.4233,0.6789
Mumbai,Car,Rainy,Stable,Saturday,17,67.4999,0,0,33.75,0.3204
Pune,Car,Clear,Recession,Monday,7,84.48,1,0,52.8619,0.0729
Chennai,Bus,Storm,Stable,Sunday,13,86.4,1,0,102.1339,1
Delhi,Bike,Snowy,Booming,Friday,9,104.8586,0,0,88.302,0.7371
Kolkata,Car,Hot,Booming,Saturday,23,77.2522,0,0,43.8933,0.1602
Mumbai,Car,Rainy,Booming,Tuesday,9,36.999,0,0,18.4995,0.4687
Delhi,Bike,Rainy,Recession,Sunday,7,105.3779,0,1,100.8401,0.301
Mumbai,Car,Snowy,Booming,Sunday,5,100.4629,0,0,50.2314,0.4026
Delhi,Bike,Snowy,Booming,Friday,9,39.4885,0,0,37.788,0.5251
Delhi,Bike,Storm,Recession,Sunday,5,64.7435,0,0,61.9555,0.4523
Pune,Bike,Hot,Booming,Wednesday,3,55.7979,0,0,44.6383,0.2116
Mumbai,Bike,Snowy,Stable,Tuesday,10,72.0442,0,0,57.6353,0.3654
Delhi,Bus,Snowy,Stable,Wednesday,19,29.1974,0,0,34.9251,0.4019
Bengalore,Bike,Snowy,Stable,Thursday,5,49.0725,0,0,46.9593,0.2417
Pune,Bike,Storm,Stable,Thursday,23,73.0923,0,0,58.4738,0.2169
Pune,Car,Rainy,Booming,Friday,23,73.3564,0,0,36.6782,0.1661
Delhi,Bike,Rainy,Stable,Sunday,3,106.9753,0,0,102.3688,0.2748
Bengalore,Bike,Clear,Stable,Monday,19,112.2947,0,0,94.5242,0.2249
Pune,Bike,Hot,Stable,Sunday,3,56.679,0,0,45.3432,0.2115
Mumbai,Bike,Rainy,Booming,Monday,5,67.6239,0,0,54.0991,0.2347
Chennai,Bike,Snowy,Booming,Saturday,10,29.2595,0,0,23.4076,0.3867
Kolkata,Bike,Storm,Stable,Thursday,0,27.3161,0,0,26.1398,0.0653
Mumbai,Bus,Clear,Recession,Friday,2,69.5322,0,0,69.5322,0.1131
Mumbai,Car,Hot,Booming,Tuesday,14,27.7507,0,1,13.8753,0.1228
Delhi,Bike,Rainy,Stable,Saturday,16,26.7703,0,0,25.6175,0.5115
Bengalore,Bike,Rainy,Recession,Tuesday,19,33.2845,0,0,29.4918,0.0587
Mumbai,Bike,Storm,Stable,Friday,23,65.1787,0,0,52.1429,0.3637
Bengalore,Bike,Storm,Booming,Saturday,7,24.5429,0,0,23.486,0.234
Kolkata,Bike,Clear,Recession,Thursday,21,26.83,0,1,20.8469,0.0201
Mumbai,Bike,Clear,Stable,Saturday,2,63.2871,0,0,50.6296,0.5569
Mumbai,Bus,Snowy,Stable,Monday,20,39.9489,0,0,39.9489,0.4242
Mumbai,Bike,Snowy,Stable,Monday,4,60.1104,0,0,48.0884,0.2773
Pune,Rickshaw,Snowy,Booming,Tuesday,17,47.8711,1,1,57.4454,0.2934
Chennai,Bike,Snowy,Booming,Saturday,7,16.8804,0,0,13.5043,0.7157
Bengalore,Car,Rainy,Recession,Wednesday,2,43.6531,0,0,26.1083,0.063
Delhi,Bike,Clear,Booming,Thursday,15,103.68,0,0,122.9405,1
Delhi,Bike,Clear,Stable,Friday,22,53.0737,0,0,48.2488,0.5597
Bengalore,Bike,Hot,Booming,Monday,23,60.1458,0,0,54.678,0.2206
Pune,Bus,Storm,Recession,Saturday,16,51.3659,0,0,51.3659,0.101
Bengalore,Car,Snowy,Stable,Sunday,18,28.2497,0,0,16.8958,0.1699
Pune,Bike,Storm,Stable,Monday,20,66.4128,0,0,59.0336,0.1471
Kolkata,Bike,Rainy,Stable,Tuesday,15,99.2467,0,0,94.9729,0.0449
Mumbai,Rickshaw,Hot,Booming,Monday,19,101.501,0,0,121.8012,0.1647
Bengalore,Car,Hot,Recession,Sunday,6,36.7516,0,1,20.8816,0.1555
Chennai,Car,Clear,Recession,Wednesday,23,22.822,0,0,11.411,0.1037
Delhi,Bike,Clear,Booming,Tuesday,11,57.7441,0,0,64.1601,1
Chennai,Car,Clear,Stable,Friday,4,98.6966,0,0,49.3483,0.4763
Mumbai,Car,Snowy,Booming,Saturday,4,32.2477,0,0,16.1238,0.2017
Mumbai,Bike,Rainy,Recession,Wednesday,0,61.2787,0,0,49.0229,0.1066
Delhi,Car,Rainy,Stable,Saturday,14,24.7759,1,1,13.0399,0.7456
Mumbai,Car,Hot,Recession,Wednesday,2,55.3435,0,0,27.6717,0.11
Mumbai,Bus,Hot,Stable,Wednesday,3,46.9127,0,0,46.9127,0.2487
Kolkata,Bike,Clear,Recession,Sunday,8,80.7902,0,0,73.4457,0.036
Bengalore,Car,Hot,Booming,Sunday,7,104.3681,0,0,59.3,0.2542
Chennai,Bike,Rainy,Stable,Monday,9,43.5004,0,0,38.667,0.4162
Bengalore,Rickshaw,Storm,Recession,Saturday,5,53.8241,0,0,77.2595,0.1426
Pune,Bike,Storm,Stable,Wednesday,5,23.5041,0,0,18.8032,0.1994
Chennai,Bike,Clear,Recession,Saturday,7,47.6277,0,0,38.1021,0.3367
Bengalore,Bus,Hot,Stable,Wednesday,9,45.6171,0,0,51.8376,0.367
Bengalore,Car,Rainy,Recession,Sunday,5,44.5446,0,0,26.6415,0.0365
Kolkata,Bike,Hot,Booming,Thursday,5,31.987,0,0,29.0791,0.0805
Delhi,Bike,Snowy,Booming,Saturday,16,68.7066,0,0,65.7479,0.5908
Kolkata,Car,Clear,Booming,Thursday,8,51.9782,1,0,23.6265,0.1098
Bengalore,Bike,Rainy,Booming,Saturday,16,87.5601,0,0,83.7896,0.1497
Pune,Car,Storm,Stable,Friday,5,96,0,0,58.8103,0.158
Delhi,Car,Snowy,Booming,Wednesday,12,73.8281,0,0,53.9679,1
Chennai,Car,Hot,Recession,Tuesday,16,55.8019,0,0,27.901,0.2886
Chennai,Bike,Clear,Stable,Sunday,14,86.4,1,0,82.9629,0.5345
Bengalore,Bike,Rainy,Booming,Monday,16,26.877,0,0,25.7196,0.252
Mumbai,Bike,Snowy,Booming,Wednesday,4,18.9122,0,0,18.9122,0.3929
Bengalore,Bike,Clear,Stable,Friday,16,72.5656,0,0,65.9687,0.1922
Delhi,Bike,Clear,Stable,Thursday,17,49.7726,1,0,39.8181,0.692
Mumbai,Bus,Clear,Booming,Wednesday,20,60.1602,0,0,60.1602,0.514
Mumbai,Bike,Rainy,Stable,Thursday,15,99.5336,0,0,79.6269,0.2569
Chennai,Bike,Rainy,Booming,Thursday,8,50.1135,1,0,40.0908,0.478
Delhi,Car,Hot,Booming,Sunday,4,68.3744,0,0,38.8491,0.5388
Kolkata,Bike,Clear,Stable,Tuesday,21,34.9883,0,0,27.1859,0.13
Delhi,Bike,Storm,Booming,Wednesday,9,79.6384,0,0,76.209,0.548
Chennai,Bike,Rainy,Recession,Thursday,19,35.9414,0,1,31.9479,0.0984
Pune,Bike,Snowy,Booming,Sunday,18,31.277,0,0,25.0216,0.2543
Kolkata,Bike,Storm,Booming,Monday,16,98.8936,0,0,94.6351,0.0572
Chennai,Bike,Hot,Stable,Saturday,17,101.6077,0,0,81.2862,0.7929
Chennai,Car,Hot,Booming,Saturday,9,88.3817,0,0,44.1908,0.6382
Kolkata,Bike,Hot,Booming,Saturday,15,29.9178,0,1,27.198,0.1023
Chennai,Bike,Hot,Recession,Tuesday,11,113.1671,0,0,90.5336,0.2289
Chennai,Bike,Storm,Booming,Sunday,5,98.1115,0,0,78.4892,0.5482
Pune,Bike,Snowy,Booming,Thursday,20,77.76,0,0,100.3038,0.1586
Pune,Bus,Hot,Stable,Friday,4,96,0,0,100.3537,0.3321
Bengalore,Bike,Storm,Recession,Friday,18,76.4214,1,0,54.1707,0.0782
Chennai,Bike,Snowy,Stable,Friday,9,50.9965,0,0,40.7972,0.3465
Delhi,Bike,Hot,Stable,Wednesday,15,83.713,0,0,76.1027,0.366
Bengalore,Car,Clear,Recession,Friday,7,114.1483,1,0,51.8856,0.0736
Mumbai,Rickshaw,Rainy,Stable,Wednesday,5,65.3337,0,0,78.4005,0.3778
Delhi,Car,Clear,Recession,Friday,12,46.7518,0,0,26.5635,0.2027
Delhi,Bike,Hot,Recession,Saturday,6,46.03,0,0,66.4214,0.4494
Chennai,Bike,Hot,Recession,Saturday,0,38.6633,0,0,30.9306,0.1044
Mumbai,Bike,Storm,Recession,Sunday,19,55.5293,0,0,44.4235,0.1721
Bengalore,Bike,Snowy,Recession,Friday,14,48.0055,0,0,45.9383,0.1067
Chennai,Car,Hot,Stable,Friday,20,23.91,0,0,11.955,0.7076
Kolkata,Bike,Snowy,Recession,Tuesday,3,39.6573,0,0,37.9495,0.0544
